0, 0 4 7 11 0 3 10 12 -12 -5 4 10 0 4 7 11 -2 2 3 5 -12 4 11 19 -8 -5 0 4 0 4 7 10;
1, 1 4 7 9 0 0 0 0 0 0 0 0 1 5 8 12 -2 0 3 5 0 0 0 0 -7 -4 1 5 1 5 8 11;
2, -3 2 5 12 -2 7 10 14 0 0 0 0 2 6 9 13 -3 0 4 5 -10 0 5 17 -6 -3 2 6 2 6 9 12;
3, 3 6 9 11 -9 3 7 12 -10 -2 0 7 3 7 10 14 -4 1 3 5 0 0 0 0 -5 -2 3 7 3 7 10 13;
4, -1 2 7 14 -12 -5 4 10 0 0 0 0 4 8 11 15 -1 2 6 7 -17 -1 2 16 -4 -1 4 8 4 8 11 14;
5, -7 0 4 9 -7 0 3 8 -7 0 3 10 5 9 12 16 -3 2 4 7 -19 -3 4 12 -3 0 5 9 5 9 12 15;
6, 0 2 6 9 0 0 0 0 -6 1 3 10 6 10 13 17 0 0 0 0 0 0 0 0 -2 1 6 10 6 10 13 16;
7, -5 5 11 16 -5 2 5 10 -5 5 11 14 7 11 14 18 -2 0 5 9 -17 -3 5 11 -1 2 7 11 7 11 14 17;
8, 2 4 8 11 -4 0 7 12 0 0 0 0 8 12 15 19 -2 3 5 11 0 0 0 0 0 3 8 12 8 12 15 18;
9, -3 4 7 12 -7 0 3 9 0 0 0 0 9 13 16 20 -1 0 2 7 -15 0 7 12 1 4 9 13 9 13 16 19;
10, 0 3 7 10 -2 5 7 14 -4 2 6 10 10 14 17 21 0 1 3 6 0 0 0 0 2 5 10 14 10 14 17 20;
11, 2 5 9 11 -1 5 7 15 0 0 0 0 11 15 18 22 -3 1 4 6 -17 -1 2 9 3 6 11 15 11 15 18 21;
